"Word","Part of Speech","Pronunciation","Definition","Synonyms","Antonyms","Example Sentence","Date Added","Marking","Mastery Status"
"PREVAIL","Verb","pri-ˈvāl","to gain ascendancy through strength or superiority : triumph","hold; endure; run","","","Sep 12, 2026","Uncategorized","uncategorized"
"RELINQUISH","Verb","ri-ˈliŋ-kwish","to withdraw or retreat from : leave behind","free; renounce; waive","","","Sep 12, 2026","Don't know","learning"
"IMPOSITION","Noun","ˌim-pə-ˈzi-shən","something imposed: such as","infliction; coercion; impose","","","Sep 12, 2026","Uncategorized","uncategorized"
"PERSPICACIOUS","Adjective","ˌpər-spə-ˈkā-shəs","of acute mental vision or discernment : keen","sagacious; discerning; sapient","","","Sep 12, 2026","Uncategorized","uncategorized"
"LASSITUDE","Noun","ˈla-sə-ˌtüd","a condition of weariness or debility : fatigue","languor; lethargy; inanition","","","Sep 12, 2026","Uncategorized","uncategorized"
"VITUPERATIVE","Adjective","vī-ˈtü-p(ə-)rə-tiv","uttering or given to censure : containing or characterized by verbal abuse","critical; scathing; vituperate","","","Sep 12, 2026","Uncategorized","uncategorized"
"ENTROPY","Noun","ˈen-trə-pē","a measure of the unavailable energy in a closed thermodynamic system that is also usually considered to be a measure of the system's disorder, that is a property of the system's state, and that varies directly with any reversible change in heat in the system and inversely with the temperature of the system; broadly : the degree of disorder or uncertainty in a system","information; selective information; randomness","","","Sep 12, 2026","Uncategorized","uncategorized"
"LIMN","Verb","ˈlim","to draw or paint on a surface","delineate; depict; outline","","","Sep 12, 2026","Uncategorized","uncategorized"
"GERMANE","Adjective","(ˌ)jər-ˈmān","relating to a subject in an appropriate way : fitting","related; relevant; pertinent","","","Sep 12, 2026","Uncategorized","uncategorized"
"TRADUCE","Verb","trə-ˈdüs","to expose to shame or blame by means of falsehood and misrepresentation","malign; badmouth; drag through the mud","","","Sep 12, 2026","Uncategorized","uncategorized"
"PALAVER","Noun","pə-ˈla-vər","a long parley usually between persons of different cultures or levels of sophistication","rhetoric; prattle; maunder","","","Sep 12, 2026","Uncategorized","uncategorized"
"EVINCE","Verb","i-ˈvin(t)s","to constitute outward evidence of","show; express; demonstrate","","","Sep 12, 2026","Uncategorized","uncategorized"
"PITHY","Adjective","ˈpi-thē","consisting of or abounding in pith","concise; sententious; sententiously","","","Sep 12, 2026","Uncategorized","uncategorized"
"MALEVOLENT","Adjective","mə-ˈle-və-lənt","having, showing, or coming from intense often vicious ill will, spite, or hatred","malign; evil; malignant","","","Sep 12, 2026","Uncategorized","uncategorized"
"PREDILECTION","Noun","ˌpre-də-ˈlek-shən","an established preference for something","penchant; preference; taste","","","Sep 12, 2026","Uncategorized","uncategorized"
"VESTIGE","Noun","ˈve-stij","a trace, mark, or visible sign left by something (such as an ancient city or a condition or practice) vanished or lost","trace; shadow; track","","","Sep 12, 2026","Uncategorized","uncategorized"
"VINDICATE","Verb","ˈvin-də-ˌkāt","to free from allegation or blame : to show that someone is not guilty","justify; avenge; demand","","","Sep 12, 2026","Uncategorized","uncategorized"
"ADROIT","Adjective","ə-ˈdrȯit","having or showing skill, cleverness, or resourcefulness in handling situations","cunning; artful; clever","","","Sep 12, 2026","Know","mastered"
"INDICT","Verb","in-ˈdīt","to formally charge (someone) with a crime by the finding of a jury (such as a grand jury) : to formally accuse (someone) of a crime in an indictment","convict; prosecute; accuse","","","Sep 12, 2026","Uncategorized","uncategorized"
"SCRUPULOUS","Adjective","ˈskrü-pyə-ləs","having moral integrity : acting in strict regard for what is considered right or proper","conscientious; careful; painstaking","","","Sep 12, 2026","Uncategorized","uncategorized"
"CONSTERNATION","Noun","ˌkän(t)-stər-ˈnā-shən","amazement or dismay that hinders or throws into confusion","dismay; alarm; horror","","","Sep 12, 2026","Uncategorized","uncategorized"
"JINGOISM","Noun","ˈjiŋ-(ˌ)gō-ˌi-zəm","extreme chauvinism or nationalism marked especially by a belligerent foreign policy","chauvinism; ultranationalism; superpatriotism","","","Sep 12, 2026","Uncategorized","uncategorized"
"PENCHANT","Noun","ˈpen-chənt","a strong and continued inclination; broadly : liking","predilection; preference; taste","","","Sep 12, 2026","Uncategorized","uncategorized"
"CLANDESTINE","Adjective","klan-ˈde-stən","marked by, held in, or conducted with secrecy : surreptitious","surreptitious; secret; cloak-and-dagger","","","Sep 12, 2026","Uncategorized","uncategorized"
"CONSUMMATE","Adjective","ˈkän(t)-sə-mət","extremely skilled and accomplished","stark; virtuoso; skilled","","","Sep 12, 2026","Uncategorized","uncategorized"
"SURLY","Adjective","ˈsər-lē","menacing or threatening in appearance","ugly; ill-natured; peevish","","","Sep 12, 2026","Uncategorized","uncategorized"
"ADULTERATE","Verb","ə-ˈdəl-tə-ˌrāt","to corrupt, debase, or make impure by the addition of a foreign or inferior substance or element; especially : to prepare for sale by replacing more valuable with less valuable or inert ingredients","debase; debased; stretch","","","Sep 12, 2026","Uncategorized","uncategorized"
"IMPORTUNE","Verb","ˌim-pər-ˈtün","to press or urge with troublesome persistence","insist; urge; beg","","","Sep 12, 2026","Uncategorized","uncategorized"
"CHARLATAN","Noun","ˈshär-lə-tən","quack","mountebank; faker; fake","","","Sep 12, 2026","Uncategorized","uncategorized"
"VACUOUS","Adjective","ˈva-kyə-wəs","emptied of or lacking content","hollow; asinine; inane","","","Sep 12, 2026","Uncategorized","uncategorized"
"RAZE","Verb","ˈrāz","to destroy to the ground : demolish","level; dismantle; take down","","","Sep 12, 2026","Uncategorized","uncategorized"
"ABASE","Verb","ə-ˈbās","to lower in rank, office, prestige, or esteem","chagrin; humble; mortify","","","Sep 12, 2026","Uncategorized","uncategorized"
"SPECIOUS","Adjective","ˈspē-shəs","having a false look of truth or genuineness : sophistic","gilded; meretricious; spurious","","","Sep 12, 2026","Uncategorized","uncategorized"
"SENTIENT","Adjective","ˈsen(t)-sh(ē-)ənt","capable of sensing or feeling : conscious of or responsive to the sensations of seeing, hearing, feeling, tasting, or smelling","conscious; animate; sensate","","","Sep 12, 2026","Uncategorized","uncategorized"
"PLIABLE","Adjective","ˈplī-ə-bəl","supple enough to bend freely or repeatedly without breaking","pliant; susceptible; malleable","","","Sep 12, 2026","Uncategorized","uncategorized"
"ENERVATE","Adjective","i-ˈnər-vət","lacking physical, mental, or moral vigor : enervated","unnerve; unsettle; faze","","","Sep 12, 2026","Uncategorized","uncategorized"
"FLUMMOX","Verb","ˈflə-məks","confuse","trounce; beat; get","","","Sep 12, 2026","Uncategorized","uncategorized"
"EXTRICATE","Verb","ˈek-strə-ˌkāt","to free or remove from an entanglement or difficulty","disentangle; untangle; disencumber","","","Sep 12, 2026","Uncategorized","uncategorized"
"PRECIPITOUS","Adjective","pri-ˈsi-pə-təs","precipitate","sharp; abrupt; steep","","","Sep 12, 2026","Uncategorized","uncategorized"
